"time","sut.crane_angle","sut.desired_angle","sut.m_load","sut.control_force"
2.98,-0.1807166997755528,0,5,46.49953555165206
2.99,-0.1797137949232046,0,5,46.262083540712176
3,-0.1787134128213812,0,5,46.028563547707265
3.01,-0.1777157828314146,0,5,45.799009619480934
3.02,-0.17672111676209037,0,5,45.57345463085775
3.03,-0.1757296328055082,0,5,45.35193031670584
3.04,-0.17474154772745323,0,5,45.134467263785616
3.05,-0.17375707689565337,0,5,44.921094912527565
3.06,-0.17277643430803505,0,5,44.71184155880971
3.07,-0.17179981430306412,0,5,44.5067306529879
3.08,-0.1708274326888051,0,5,44.30578910970851
3.09,-0.16985949676462309,0,5,44.109041244220336
3.1,-0.16889621081001685,0,5,43.916509877942374
3.11,-0.16793777721414194,0,5,43.72821656284933
3.12,-0.1669843964626123,0,5,43.544181574869526
3.13,-0.16603625137137928,0,5,43.36442305344325
3.14,-0.16509351198024264,0,5,43.18895726087424
3.15,-0.164156381754435,0,5,43.01780108066167
3.16,-0.16322504372330407,0,5,42.850969092222336
3.17,-0.16229967746408688,0,5,42.688474485558686
3.18,-0.16138045899271292,0,5,42.5303290494538
3.19,-0.16046756065460654,0,5,42.37654315966593
3.2,-0.15956115215346145,0,5,42.227130392739014
3.21,-0.15866139797286968,0,5,42.08209747752362
3.22,-0.15776845893166203,0,5,41.94145104936724
3.23,-0.15688249189800885,0,5,41.80519692005444
3.24,-0.15600364956717114,0,5,41.673339606468744
3.25,-0.15513208035504047,0,5,41.54588232991357
3.26,-0.15426794689024578,0,5,41.42282938809691
3.27,-0.15341142781438258,0,5,41.304186397693066
3.28,-0.15256264491834232,0,5,41.18995101185264
3.29,-0.1517217413861534,0,5,41.080122914858386
3.3,-0.15088885757462517,0,5,40.974700745179035
3.31,-0.15006413103574665,0,5,40.87368211122897
3.32,-0.14924769653908598,0,5,40.777063607128156
3.33,-0.14843971800934036,0,5,40.68483930849643
3.34,-0.14764032190113238,0,5,40.597003962318965
3.35,-0.14684963773580442,0,5,40.51355107319981
3.36,-0.14606779819022359,0,5,40.43447291595915
3.37,-0.14529493456966913,0,5,40.359760768064554
3.38,-0.14453117691203146,0,5,40.28940492149519
3.39,-0.14377663058817472,0,5,40.223392164970704
3.4,-0.14303136157487784,0,5,40.161704199579425
3.41,-0.14229551785163824,0,5,40.104330704939294
3.42,-0.14156920666243727,0,5,40.051256129962816
3.43,-0.1408525316187103,0,5,40.002463686768884
3.44,-0.14014559261560472,0,5,39.95793534231973
3.45,-0.1394484857482366,0,5,39.91765181005755
3.46,-0.13876129492110068,0,5,39.881595543350194
3.47,-0.1380841083607241,0,5,39.849744729761696
3.48,-0.13741700976564633,0,5,39.82207645052003
3.49,-0.13676007675764915,0,5,39.798567201564005
3.5,-0.13611338237954193,0,5,39.779192313670734
3.51,-0.13547699498866955,0,5,39.76392595231297
3.52,-0.1348509878757956,0,5,39.752743376474626
3.53,-0.13423545208685675,0,5,39.745623941412106
3.54,-0.1336304300864118,0,5,39.74253571494748
3.55,-0.13303597950418966,0,5,39.74345030876869
3.56,-0.13245215415341244,0,5,39.74833849405991
3.57,-0.13187900401582048,0,5,39.75717022261584
3.58,-0.13131657522669743,0,5,39.76991464795634
3.59,-0.13076495727624365,0,5,39.78654338294899
3.6,-0.13022419341601638,0,5,39.80702438063867
3.61,-0.1296943192053053,0,5,39.83132459860172
3.62,-0.12917537999055678,0,5,39.85941121923765
3.63,-0.128667419385402,0,5,39.89125088225797
3.64,-0.1281704793942702,0,5,39.92680971530041
3.65,-0.12768459158733703,0,5,39.96605129835629
3.66,-0.12720975668445791,0,5,40.00893195191037
3.67,-0.1267460260340306,0,5,40.05541955193652
3.68,-0.12629342641148966,0,5,40.10547616844709
3.69,-0.1258519820475374,0,5,40.159063153736376
3.7,-0.12542171465001342,0,5,40.21614114950283
3.71,-0.1250026434257655,0,5,40.27667009397166
3.72,-0.12459474759889522,0,5,40.34060471367254
3.73,-0.12419803334619618,0,5,40.40790258679162
3.74,-0.12381251322651232,0,5,40.47852167100594
3.75,-0.12343818414271493,0,5,40.55241765464861
3.76,-0.12307503874165802,0,5,40.62954533372487
3.77,-0.12272306531766064,0,5,40.70985860478072
3.78,-0.12238225116295987,0,5,40.79331209557946
3.79,-0.12205259529265772,0,5,40.879867250013966
3.8,-0.12173406541677832,0,5,40.96947192236123
3.81,-0.12142663626899723,0,5,41.0620786276812
3.82,-0.12113027849650548,0,5,41.157639301629494
3.83,-0.12084495861265934,0,5,41.25610531668787
3.84,-0.12057063894963013,0,5,41.357427498394415
3.85,-0.12030733750197031,0,5,41.46156676963106
3.86,-0.12005502867095123,0,5,41.56847656165318
3.87,-0.11981365799545393,0,5,41.678105452821
3.88,-0.11958319205799976,0,5,41.79040604940257
3.89,-0.11936359622869455,0,5,41.905331060715866
3.9,-0.11915483482199186,0,5,42.022833351580395
3.91,-0.1189568675923317,0,5,42.14286432938119
3.92,-0.11876962781056197,0,5,42.265363952521426
3.93,-0.11859308800033025,0,5,42.390290614012244
3.94,-0.11842720306554934,0,5,42.51759525219683
3.95,-0.11827192658398404,0,5,42.64722874358859
3.96,-0.11812721089457381,0,5,42.779141923735295
3.97,-0.11799300718475483,0,5,42.91328560808315
3.98,-0.11786922639912872,0,5,43.04960073170627
3.99,-0.11775579852479814,0,5,43.18803330033013
4,-0.11765267650283776,0,5,43.32853537567309
4.01,-0.11755979266854055,0,5,43.471054088208014
4.02,-0.11747707637471541,0,5,43.615536080723906
4.03,-0.11740445393421867,0,5,43.76192749267277
4.04,-0.11734184785291023,0,5,43.91017446486408
4.05,-0.11728916936812175,0,5,44.06022855338175
4.06,-0.11724633847850718,0,5,44.212031983437285
4.07,-0.11721326684655918,0,5,44.365530129551935
4.08,-0.11718986250736396,0,5,44.52066800472195
4.09,-0.11717602979130963,0,5,44.67739025930232
4.1,-0.11717166924679427,0,5,44.835641179890274
4.11,-0.11717671854775223,0,5,44.995377390396065
4.12,-0.11719109734797038,0,5,45.1565507838988
4.13,-0.11721468697633722,0,5,45.31910225255081
4.14,-0.11724738920896571,0,5,45.482979925319434
4.15,-0.11728910423157175,0,5,45.648132360832655
4.16,-0.11733973072725488,0,5,45.81450859742278
4.17,-0.11739916858689951,0,5,45.982058333940266
4.18,-0.11746737702074793,0,5,46.150734873007764
4.19,-0.11754422802370054,0,5,46.32048786010247
4.2,-0.11762962818106684,0,5,46.491269402760025
4.21,-0.11772348506389801,0,5,46.66303244062902
4.22,-0.11782570745252938,0,5,46.83573080228385
4.23,-0.117936205560123,0,5,47.009319262037764
4.24,-0.11805483458095693,0,5,47.18373575718712
4.25,-0.1181814600384199,0,5,47.358921943932394
4.26,-0.11831601205895788,0,5,47.534840267540574
4.27,-0.11845838302270413,0,5,47.711441732464976
4.28,-0.11860846396333595,0,5,47.88867734631235
4.29,-0.11876614454139664,0,5,48.06649809789422
4.3,-0.11893131283018538,0,5,48.24485493603269
4.31,-0.11910382791488182,0,5,48.4236988577607
4.32,-0.11928358517908876,0,5,48.60298062356472
4.33,-0.11947046308073751,0,5,48.78265094949311
4.34,-0.11966433771219012,0,5,48.962660426513025
4.35,-0.1198650827164914,0,5,49.14295949879146
4.36,-0.12007256920362097,0,5,49.32349844197642
4.37,-0.1202866840831581,0,5,49.50423606165222
4.38,-0.12050731303635523,0,5,49.68513164854962
4.39,-0.12073431289560438,0,5,49.866131918154565
4.4,-0.12096755299475626,0,5,50.047190608026476
4.41,-0.12120690110949695,0,5,50.22826183850029
4.42,-0.12145222346333412,0,5,50.40930013345661
4.43,-0.12170338473358315,0,5,50.59026044109205
4.44,-0.12196032289431043,0,5,50.77111435234624
4.45,-0.12222287623483125,0,5,50.951812680385146
4.46,-0.12249091799033393,0,5,51.13231461943069
4.47,-0.12276432423533641,0,5,51.31258081511821
4.48,-0.1230429720838509,0,5,51.492572994416044
4.49,-0.1233267398550142,0,5,51.67225402094894
4.5,-0.12361550407159283,0,5,51.851580510213395
4.51,-0.1239091416729719,0,5,52.03050769448908
4.52,-0.12420753696497,0,5,52.20900541534594
